title,address,floor,madori,fee /yen,management_fee /yen,deposit /yen,gratuity /yen,menseki /m2
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,4階,1K,136000,0,136000,136000,27.68
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,4階,1LDK,215000,0,215000,215000,40.36
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,5階,1LDK,216000,0,216000,216000,40.36
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,6階,1LDK,217000,0,217000,217000,40.36
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,4階,1LDK,236000,0,236000,236000,45.04
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,5階,1LDK,237000,0,237000,237000,45.04
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,4階,1LDK,237000,0,237000,237000,45.03
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,6階,1LDK,238000,0,238000,238000,45.04
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,6階,1K,238000,0,238000,238000,45.04
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,5階,1LDK,238000,0,238000,238000,45.03
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,7階,1LDK,239000,0,239000,239000,45.04
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,6階,1LDK,239000,0,239000,239000,45.03
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,7階,1LDK,240000,0,240000,240000,45.03
レ・ジェイドクロス千代田神保町,東京都千代田区西神田２,5階,2LDK,318000,0,318000,318000,64.46
S-RESIDENCE神田avance,東京都千代田区岩本町１,10階,1K,109500,14000,109500,109500,26.06
S-RESIDENCE神田avance,東京都千代田区岩本町１,7階,1DK,137000,14000,137000,137000,32.11
パティオ神田,東京都千代田区岩本町２,6階,1K,97000,15000,0,0,25.01
パティオ神田,東京都千代田区岩本町２,8階,1LDK,179000,15000,0,0,45.81
パティオ神田,東京都千代田区岩本町２,8階,1LDK,179000,18000,0,0,45.81
パティオ神田,東京都千代田区岩本町２,8階,1LDK,199000,15000,0,0,45.81
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,5階,ワンルーム,130000,10000,0,130000,25.43
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,5階,ワンルーム,130000,15000,0,130000,25.43
東京メトロ半蔵門線 神保町駅 14階建 新築,東京都千代田区神田神保町２,7階,ワンルーム,150000,0,150000,150000,25.43
